,firm,pros: career opportunities,pros: compensation and benefits,pros: senior management,pros: work life balance,pros: culture and values,pros: diversity and inclusion,cons: career opportunities,cons: compensation and benefits,cons: senior management,cons: work life balance,cons: culture and values,cons: diversity and inclusion,index,opportunities,compensation,management,worklife_balance,culture,diversity,kmeans_labels
428,"Williams-Sonoma,-Inc.",There are opportunity for growth under the right leader,"Great discounts, Fair pay, PTO, and sick pay, as well as a competitive vacation package.",,"Work from home. Decent hours., Work from home, standard, no in-office work.",Good environment good pay good management,,Training sucks. Customers are awful. Not worth it,"Merchandise is way too expensive, pay is not competitive (even with other retailers)",,"Hard to be on your feet all-day, Office politics, lack of investment in technology creates busy work","Customers weren’t always the best, sometimes it took a while for our out of stock items to come to the store",Dealing with extremely rude and harsh escalated customer calls for an entire shift,693,3.18,3.18,2.92,3.03,3.22,3.57,4
429,World-Wide-Technology,You will find yourself working with smart and capable people interested in advancing opportunities.,"Great health benefits, 401K Matching, Profit Sharing, and excellent health benefits",Core values make this a very respectful place to work-values are upheld by leadership who participate in training to ensure culture is authentically upheld.,The people and work life balance,I love working for WWT. It offers work-life balance and healthcare benefits are wonderful. The culture is truly amazing.,,"Below average salary, low job stability. Company is sales focused. Performers are second class citizens in the company and surprise layoffs are not uncommon.",,"CEO and senior leadership are super into charity work, but are disengaged with partner relationships.",Where do I begin? So much has gone down hill. Very disappointing to watch and experience.,"Lots of talk about ‘culture’, but in practice, WWT has become another fast-growing company losing the very culture and talent that made it grow.","advancement is a joke. I’ve seen people with years of experience, that are overqualified for a position they apply for, and are displaced for an outside ‘diversity hire’ with no experience",785,3.93,4.09,3.93,4.06,4.24,4.29,5
430,Wärtsilä,"Stable job in the gas Engineering field, Interesting job, nice social package. Flexible workstile., Dinamic work environment, growth potential, autonomy, Interesting projects, good company culture, Opportunity, Growth, Salary, Benefits and Location, Flexible Schedule, Training provided, yearly bonuses and raises, Good pay and benefits are offered by the company, with decent pay and a good health care plan","Good salary for low responsibility work., Opportunity, Growth, Salary, Benefits and Location, Good pay and benefits are offered by the company, with decent pay and a good health care plan",Senior management is generally good at providing guidance and support to staff.,"Wellbeing and work life balance are offered by the company, with 5 days of work., Flexible Schedule","The company has a clear set of culture and values that guide its operations, prioritizing diversity and inclusion., The company prioritizes diversity and inclusion, providing an environment where all staff feel valued.",,,"It is Paid below market. Medium salary. No bonuses. A bit to much burocrasity, Salary is not competitive with other top corporations","Bad managers who care only for themselves. Unfair sharing of workload. They try to exhaust the employees. They don't care about employees development. They never admit their mistakes. If you dare to habe opinion, they try to make you shut up.",Some employees may find work life balance challenging at times due to restructuring changes.,"Segregate work culture, no transparency, Unfortunately, some staff have reported feeling mistreated or unsupported by managers and HR, highlighting a need for improvement.",,2146,3.57,3.34,3.34,3.71,3.71,3.86,1
431,Yodel,Great Opportunities,"Good salaries, regular pay, full-time employment, competitive compensation and benefits",,Very flexible work hours which makes it easy to fit other activities/plans in your day,Culture Exec Development Team Ethos Health & Wellbeing,,"No progression within company, Limited career growth","Poor pay rates and training, Pay that is considered underpaid or poor considering the hours worked may impact job satisfaction",Senior manager was an absolute bully,"Long hours work all weekends, 12 hour days with lots of heavy lifting can be exhausting and affect work-life balance.","The culture of the company is poor. Driven by profit, not people, Racism and poor treatment of employees from diverse backgrounds can lead to a hostile work environment.",Racism and poor treatment of employees from diverse backgrounds can lead to a hostile work environment.,3196,2.65,2.53,2.86,2.83,2.8,3.22,3
432,Cvent,"can move up and gain experience for resume, fun environment, cool coworkers can get to know management","Meals and transportation is provided by company, Pay meets industry standards, and the company provides great compensation, appraisals, bonus, and learnings for growth",Leadership is very supportive of your career goals,Having a healthy work-life balance is actually highly encouraged. You are allowed to make decisions on what to do with your time as long as you are being productive,"Great culture and great coworkers. Lots of fun outings and staff activities., People are fun and diverse, and the company has great culture, FP&A team is helpful and supportive",Diversity within the office,"Rigorous training and smaller office compared to others in market, Promotions are limited to twice a year and not the normal model of promotion as and when it's deserved.",,"micromanaging, the culture of Cvent is just not there anymore",,"salaries are not the most competitive not always supportive of work/life balance, People tend to micromanage at times, Promotions are limited to twice a year and not the normal model of promotion as and when it's deserved.","Toxic culture. Good for freshers as they can agree to whatever their seniors say, even if it's a pathetic idea.",1040,3.73,3.44,3.46,3.5,3.85,3.98,1
433,Young%E2%80%99s-Pubs,"Lots of opportunities to progress and make a career within the company, and you’ll meet some great people along the way.","Decent wage, holiday pay, 20% discount on drinks",,,"It’s all about the people, staff meals team morale workout, Culture and family feel of the team.",,"Some reviewers enjoyed career opportunities and autonomy, although some felt it was lacking.","Could pay a bit more, especially in London where the cost of living is particularly exponential. Low Pay, they pay Minimum wage. 20% discount!? Sure, 20% on alcohol would be understandable but make it at least 50% off food? The costs and priced that customers are charged are shocking!",Upper management was really shoddy,"Bad work life balance Unorganised managment, Horrible hours Multiple times I was scheduled for 3 or 4 doubles shift IN A ROW.","Management formed a sort of social clique which created a negative atmosphere within the pub. Management very quick to speak aggressively and talk down to employees, despite these members of staff making very few mistakes. Additionally there was no encouragement for good work.",-Homophobia and transphobia was common from patrons and staff. -Customers where frequently thrown out for unwanted sexual advances towards staff. -Abuse is overlooked and often part of the culture.,2265,3.08,2.83,3.1,3.06,3.35,3.73,4
434,Zalora,"Good growth progression with trainings, Competitive compensation and benefits packages are provided","The management is good. The manager and lead are very helpful. You will not feel work alone and they will give you support while having difficulties. The benefits are good, can enjoy some of the discounts.","Good leadership with clear vision, The senior management team is approachable and supportive","Working ethic & personal time well balanced. Team support very well, and coordination between department is solid.","A welcoming company culture that fosters collaboration and teamwork, Friendly teammates - respectful of each other's boundaries The company prioritizes diversity and inclusion","The people truly make the experience of working here bearable. A welcoming company culture that fosters collaboration and teamwork, Friendly teammates - respectful of each other's boundaries The company prioritizes diversity and inclusion","None at the moment, first job jitters is normal, -career growth and low salary","Lack of benefits for employees, Not much benefits and salary are on the lower side of the industry",-Almost everyone from upper management seemed to have gotten in through nepotism,No work-life balance due to high workload Be prepared to OT midnight,Some employees feel that the company culture is not inclusive of all backgrounds and perspectives. A lack of representation from certain groups within the company's leadership may be a concern.,,1660,4.15,3.76,4.13,4.26,4.41,4.48,5
435,abrdn,One positive sentence describing career opportunities,"40 days holidays including bank holiday, hybrid work and modern office., Good employee benefits. Alot of holiday, Flat structure.; People are great, always willing to help colleagues and the culture is quite healthy compared to other asset management companies.",,"Good work/life balance, generous pension contribution, nice office with good facilities., Work life balance and development opportunities","Flat structure.; People are great, always willing to help colleagues and the culture is quite healthy compared to other asset management companies.",,One negative sentence describing career opportunities,"Salary - inconsistent vs team members No bonus or pay rise for certain levels meaning lower levels overtook salary. The company's reward package is not considered competitive, with some employees reporting below market pay.","Dismal company strategy and kleptocratic leadership, Senior management are clueless and it stems from the top. CEO out of his depth but carries an ego which makes him oblivious to whats going on below him.",Lots of administrative tasks to do,Lack of leadership in senior management; Senior management are driving a culture that can only be described as toxic. Badly managed organisation. Senior managers are on a gravy train and don't care about junior staff. General feeling is that the company is getting streamlined and prepped for sale.,"Merger did more damage than good, longer term employees fatigued by change, Cost cutting gone too far. Over promise, under delivery.",1827,2.87,3.07,2.56,3.67,2.98,3.46,3
436,ABN-AMRO,"A lot of career opportunities, A lot of possibilities to move to other roles., Good Salary, many opportunities within the bank","Good employee benefits, Variable compensation way below market standards, High salary, benefit budget, big bank, good pension.",,"Pleasant working environment with decent working hours, Hybrid work, flexibility in hours to start early., Good team spirit, and work life balance., Work life balance., Good work private balance, flexibility, supportive managers","This is a non-hierarchal company culture and values opinions of all staff., nice work and colloquies from cultures.",,"Nothing worth highlighting in this regard, Not that many growth opportunities","Low salary and bonus, not competitive, Variable compensation way below market standards","Arguing with Model Development departments can be demotivating, Course set out by senior management is somewhat vague., Too many changes in Management and in strategy",,"Too Dutch, other nationalities are often disadvantaged., so bureaucratic, no humour jokes. Teamwork is so weak., Can be hard to adapt if you don't speak Dutch.",the organization is a bit bureaucratic,2421,3.54,3.56,3.23,4.04,3.73,3.84,1
437,AES-Corporation,AES promotes career opportunities and internal movement for their employees.,"Compensation and benefits packages are competitive, with good benefits and salaries above the market.",,"Some positions offer flexible work arrangements, such as remote work options., Solid benefits,, with work life balance and flexible PTO","A value-driven culture with a shared mission, prioritizing respect and learning opportunities., Diverse, Global company with a great mission.","Good efforts to promote diversity and inclusion, but still room for improvement across all levels., Focused leaders, great work environment, innovative, accomplished team members. Improved diversity, equity, and inclusion efforts underway",Some may find the limited number of advancement opportunities in certain roles to be limiting.,"The cost of benefit’s is higher then other places. Actual salaries can be below average unless you're an executive, with outdated compensation structures for certain roles.",Senior-level stagnation and a need for improved corporate structure at the top level.,"Unreasonable work hours, not family friendly in practice., Long hours in some teams or locations, which may impact work-life balance.","Medical fascists who divide employees into classes based on job type, with different requirements.",travel to project sites is extreme.,2376,4.07,4.23,3.96,3.72,4.15,3.99,5
438,ALTEN,Good Career options as well as good teams,"Benefit car included, achievable bonuses, expenses are paid, profit sharing; Benefits are behind the market.","Good managers, everyone is approachable even top management, good attitude of project managers.","It has a hybrid work arrangement allowing for 2 days office and 3 remote days, offering a good work-life balance.","The culture and values are described as loyal, transparent, dynamic, creative, and growing.",,"Not so many career opportunities, Barely any opportunity to grow","Very low salary compared to other companies in the industry; Low payment and bad Human Resources; Pay is not high, bonus can be ok if you're lucky, No increments or bonus annual.",Management: - not focused on the consultant's needs -Too much compliant to customer requests,-You are still mandated to go into the office for 1-2 days per week.-Unhealthy Culture.,,"Toxic work environment Not human centric Non transparent Old school thinking, Worst company to work at. Can’t find worse management anywhere.",737,3.43,2.98,3.18,3.62,3.36,3.69,4
439,AMETEK,Opportunities for advancement and growth.,The company provides competitive compensation and benefits packages.,"The senior management team is experienced and knowledgeable, providing guidance and support to the team.","The company prioritizes work-life balance, allowing employees to maintain a healthy balance between their personal and professional lives.",The company has a strong culture and set of values that promote innovation and collaboration among its employees.,"The company fosters a diverse and inclusive workplace, where all employees feel valued and respected.",Limited career advancement opportunities for lower-level employees.,,Poor leadership.,Poor work life balance overall,The company's culture and values may be too focused on tradition and not enough on innovation and progress.,"A little unorganized from the top down, mandatory overtime on Saturdays., High turnover and long hours., understaff, intercompany communication is not that great, Company requires ridiculous overtime.",2173,3.42,3.61,3.44,3.7,3.46,3.67,1
440,Aer-Lingus,The company offers a wide variety of work and career progression opportunities.,"Great pay and staff travel benefits are provided., Very flexible working arrangements, excellent salary and perks, Great benefits,",,"Right work-life balance; Work from home, minimal flight benefits., Reasonable pay and staff travel benefits are provided.","Good culture within IT with good investment, great team, culture, environment, brand.",,"Not many to speak of, Lack of promotion opportunity and progression, If you want to change the position you have to start from scratch and your service in the company is returned to 0., Nothing",Poor pay and limited opportunities for bonuses or share options.,"The management team is often unorganised and aggressive, with a focus on controlling staff rather than supporting them.","Long shift work hours and roster patterns can change quite a lot, making it difficult to get a consistent work-life balance., Not for you if you don’t like Long hours and shift work","Some Irish crew members have been known to be racist towards non-Irish crew members, creating a toxic work environment.",I feel you are just a dispensable number,2992,3.26,3.43,2.71,3.21,3.26,3.72,4
441,Airbus,Lots of opportunities for career progression at very regular intervals.,"Excellent pay, benefits, working hours and holidays., Good pay, benefits, and working hours.",,"4.5 day working week, good work life balance, medical checks happen at home, year off for certain roles., 4.5 day working week, good work life balance, medical checks happen at home, year off for certain roles, Good work life balance Good atmosphere International.","Collaborative culture, Good Culture, Better Employee Retention, Great Employee benefits, Company truly cares about their employees. It is possible for women wearing a headscarf to work at Airbus., diversity enviroment with lots of people","Inclusion, there’s diversity and you get support as an employee, It is possible for women wearing a headscarf to work at Airbus.","Slow growing path concerning salary and promotions, Slow Too big No competition No évolution possible, Lower salary than competitors, lots of competition to progress., Salary could be much better, Compensation as VIE (training program) is not good at all.","Salary could be much better, Compensation as VIE (training program) is not good at all., -Salary could be much better, Compensation as VIE (training program) is not good at all.",-Leadership is incompetent - selected only through nepotism,,"Very close minded with old way of doing jobs Limited growth potential Limited opportunities for English speakers., -Very close minded with old way of doing jobs Limited growth potential Limited opportunities for English speakers.",,709,3.71,3.8,3.4,4.03,3.82,3.92,2
442,Allied-Universal,Tons of job opportunities available,"Competitive pay for personnel holding Secret security clearance. Pay and benefits are good, Marginal pay , great benefits.",,Consistent hours. Options to change post,Good communication Positive work environment,,Some people take their titles way too serious. They have no knowledge on how to work efficiently.,"The pay was not that great and when I worked my supervisors shift while he was on vacation, my pay only went up a few cents, maybe 20 cents.",Management doesn't care about their employees. I work nights and i used to have a partner that would cause a hostile work environment.,-No Work life balance,"Supervisors have racial biases and favoritism. Management seems to be a bit of a joke Any real concerns aren’t taken seriously Seems to be a lot of inside drama No follow through, Management is toxic, Deceiving client who needs to lose his job, Managers are inconsiderate -Mandatory holdovers -Micromanagement is an issue'",,84,2.89,2.68,2.57,2.78,2.69,3.36,3
443,DECA-Ideal-Dental,Great training and support at all levels of the organization.,"Competitive pay, bonuses, health care, low cost dental care, only two weekends a month!",There is a lot of collaboration across departments. Ideas and feedback are encouraged and listened to by Senior Management.,"Work life balance, support within the market.","Their values and culture are like no other company, providing endless support on multiple levels for not only guests but staff as well.","Honest, reliable, real people, moral compass",Sometimes rolls out new initiatives without first providing clear direction. I would love to see a bit more training and continuing education offered to field/support positions.,"Compensation and benefits could be better, with poor dental care benefits, expensive health insurance, and no 401k match.","Bigoted management, lack of trust and respect from upper management, high turnover rate.",Travel to multiple offices sometimes far away,You have to have a goof OM (office manager) and push for the things you want but if you produce they will give it to you. Like good assistants or a good schedule or a hygienist ect,,3114,4.33,4.03,4.2,4.22,4.27,4.51,5
444,Age-UK-The-National-Charity,"The company offers a range of career opportunities through partnering and agreements, as well as the chance to change roles.",,Throughout the pandemic the senior management team have been amazing putting an emphasis on staff wellbeing.,"Good work-life balance in the jobs, rarely had to stay late",A wonderfully warm and embracing culture makes for a great place to work.,,Sometimes staff feel less career progression,"Low pay; little support; poorly compensated for hours worked, repetitive work, lots of gossip",Poor senior leadership who surrounds themselves with yes men/ women rather than real talent. Don't always like to hear the truth so you have to becareful about speaking your mind even when your being constructive.,,"Different cultures within different divisions of the organisation means some parts of the charity are better to work in than others, not a lot of diversity on a senior level but efforts are being made, decisions from district managers often don't get filtered down very well to all volunteers. new policies often aren't properly communicated very well. This may just be a local communication problem.",For me it was a long commute,3329,3.05,2.89,3.28,3.76,3.82,3.79,1
445,American-Express,"The company offers various training opportunities for growth, which is beneficial for career advancement.","Benefits are great too, Benefits covered for medical, dental, and optical. - Shift, travel, internet allowance.",Sr. Management is very smart and inclusive,"Good work life balance, Amazing work life balance, Work Life Balance is a huge part of the culture.","Good work culture and it’s Remote, The company emphasizes its culture and values, creating an environment where employees feel valued and supported.",Events Staff discount Diversity Colleagues,"Toxic corporate culture comes from the leaders, a lot of favouritism, bullying and discrimination in every department. A lot of turnover in people due to culture and micromanagement, and as the leaders have said aloud ""it doesn't matter, we will always get people here due to name"".","Slow growth, and average salaries as per industry standards",Stagnant leadership will be the downfall in the product and technology organizations,"Shift hours vary 12pm-8pm, 11am-7pm, and 3pm-11pm so it doesn't allow you to have any work-life balance.","Toxic work culture in most decision science teams. A little bit of biasness is there in every corporate, however it can get toxic if exceeds., DE&I practices are extremely hierarchal.",ZERO LGBTQ+ representation in senior management,122,3.88,3.94,3.83,4.12,4.27,4.33,5
446,Amerit-Fleet-Solutions,"The company offers unlimited opportunities due to an increasing client base, allowing employees to progress their careers if they want to.","Great salary, benefits and other perks.",Amerit's senior leadership is approachable and genuinely caring about employees and their families.,The company allows employees to achieve a healthy work-life balance with 40 hours of work per week and flexible scheduling options.,"The company fosters a culture that encourages growth, empowerment, and recognition of outstanding contributions.",Amerit prioritizes creating a diverse and inclusive environment for its employees.,Sometimes there is more work to be done than there are people to do the work- but I believe that's true for every company.,"Benefits and coverage is not the best, there are no match on 401k program",Upper management is out of touch with how mechanics work and mistakes happen.,"With large fleets to manage, Amerit's work-life balance can be challenging at times.",Reports indicate that racism and a lack of genuine diversity and inclusion initiatives are present within the organization.,Reports indicate that racism and a lack of genuine diversity and inclusion initiatives are present within the organization.,3082,3.84,3.82,3.72,3.76,3.75,3.9,2
447,Amity-University,"Learning environment, FDP, Conference, Teaching Pedagogy","Good salary, Good monetary benefits, Salary on time","Good people leadership and vision, Very ethical company which spreads knowledge and good opportunities to grow and learnings.","Work-life balance and holidays, Work-life balance and saturday-sunday js off",,,"School Transportation is not good, Career growth is very stagnant","Poor salary increment, no appreciation","Management could be better, One lady in the management was corrupt and unethical., Naive people, Politics! and sometimes you feel left out and being ignored",,"The work culture is not suitable for people who look for personal growth, Religious discrimination even from the higher authorities who you consider a safe space.","In Kolkata, although you will be treated well. You won't get much scope to show your talent or explore them because so many people are not inclusive and favouritism is there., This particular Jagdishpur branch work environment is not good",1662,3.42,3.13,3.26,3.46,3.59,3.61,4
448,Apollo-Hospitals,Good career opportunity to gain knowledge and exposure,"monthly incentives and salary credited within time period, Good Benefits and Better job security","Good faculty to work there, Excellent work culture. Great experience","Good work life balance, not too much pressure at work","Good environment to work there, Nice ambiance doctors and staff",,"some cons have everything about career opportunities, Less pay compared to other hospital",,"Management is not that good, they don't give promotions easily, Seniority is the main problem, some times the work is hectic, Hod is partial and very aggressive over staff and holds grudges against staff very unprofessional",,"Work culture is like a C grade company. Reporting managers are dumb. HR is too slow in this fast paced environment. Quality of operation is bad. VIP culture is dominant known to some one will get better treatment if you don't know someone you will not be treated well, Nepotism Low Pay Resistance to change",,1741,4.01,3.74,3.82,3.73,4.0,3.98,2
449,Aramark,There are good job opportunities for growth and advancement.,"Good base salary, commission is not bad. Good benefits and pay.,401K, employee perks, employee discount",,Employees can enjoy a good work-life balance due to flexible working hours. Flexible work schedule -Easy-going staff -Easy warehouse work,The company culture is supportive and encourages open communication among employees.,,Hire more people that want too work.,"Pay sucks Benefits suck Manager are awful and petty,Wage as only minimum wage,Salaries are average at best, Compensation for associates is low, and work is seasonal.","Poor Senior Leadership makes everyone just float by., The senior management has been criticized for being unresponsive to employee concerns.",-Work expectation - Work balance - Supportive team members,Some employees have reported issues with feeling included or valued due to the lack of diversity in certain departments.,see people with the same job level after years of working.,211,3.2,3.03,2.94,3.15,3.04,3.55,4
450,Ardene,"Some career opportunities exist, but reviews highlight room for improvement.","Employee discount, vacation pay, company has programs advocating for mental health","Overall great place to work . Great people , wellness days , paid birthdays off , cares about mental health in workplace","Nice coworkers, chill, good hours, Tasks can be repetitive and you are on your feet for 6+ hours depending on our shifts.","Sense of community. Great coworkers, Friendly sales associates, helpful store manager, flexible shifts",,Management is not the greatest and has no room for career advancement,"Low-salary, poor management and work stress; No benefits; Can't honestly think of one., 50% discount on top of sales not before or without.","Stressful at times, changing hours","Toxic work environment, management sucks","Management is not good. You feel stressed., Unpleasant manager, boring shifts, not very flexible about taking sick days or days off","Management is not good. You feel stressed., Management was not considerate and did not trust their employees",2213,2.74,2.34,2.73,3.14,3.01,3.51,3
451,Atento,"Good salary and bonuses were easy to get, with a pay above the market average for call center jobs.","The pay was pretty good., Good salary and bonuses were easy to get, with a pay above the market average for call center jobs.",,"Great time and work balance for employees, open door, velocity, technology, infrastructure.","At Atento, you learn to live the company values every day: one team, accountability, agility, integrity and customer orientation. It is the biggest and best school that I've ever been to., At Atento, you learn to live the company values every day: one team, accountability, agility, integrity and customer orientation. It is the biggest and best school that I've ever been to.","The openness, divers and non discrimination policy makes Atento a comfortable place to work at as well.","Management has their favorites. Don't bother moving up., works 6 days a week.","Salary wise, there is room for improvement. Also, the company needs to learn to invest more and be less reactive.","Big company with less interaction with leadership, Management is awful. They only care about their success and not your own.","The schedules are horrible, there is no work-life balance. You are not valued at all as an employee. I gave them five years, that was as long as I could stay.","Woke corporate mentality can be outrageous, and a bad culture exists within the company., mexican ideology which is based on favours, and relationships without any professionalism.",,2685,3.07,2.97,2.78,2.84,2.95,3.48,3
452,Avaya,Good learning opportunities and good products,"Good pay and sometimes travel, competitive compensation",Good people with a tremendous amount of industry experience,"Good work life balance at this company, Stable company with great work-life balance when they offered remote hybrid environment.","Multi-cultural and diverse, wonderful team and knowledgeable people. Good salary Life balance Great people",Fabulous HR team.,"Slow promotion, few growth opportunities",,"Continues to let top talent go because managment cannot execute on a viable plan, No clear direction. Rudderless boat at sea.","No work life balance, you cant even plan to take rest on holidays","poor leadership, poor management, extremely disorganized, poor marketing, behind the ball in tech fronts, no culture, no sense of team or team collaboration, terrible records of customers, sexist, very few women",,1191,3.3,3.5,3.13,3.76,3.5,3.75,1
453,Avon,The company offers career advancement opportunities and flexible work arrangements that can lead to growth and development as a professional.,"Good benefits easy to work with, Highly competitive Comp & Ben is highly commendable on Sustainability Initiatives, Good discount on most of their own products., Great values. Great culture and people, Good Work environment and culture",Supportive manager and colleagues contribute to a positive senior management team experience.,"Flexible scheduling allows for better work-life balance, which is beneficial for employees' well-being.","Good Culture, lot of learning., Can learn a lot about the business, flexibility in job and opportunities, Flexible timing. Fewer office politics if you are working with the global team, Be your own boss, work as much or as little as you like","The company promotes diversity and inclusion, creating a multicultural environment that fosters growth and development.","There's a ceiling that seems low for growth., Must have entrepreneurial spirit to succeed","Low payment for execution staff, big gap between regular employees and managers., Commission based-salary depends on number of sales","Bad senior management and transparency, Some very unprofessional relationships in the senior management team","bad work life balance, Work life balance is not great","Poor culture, unorganized, ineffective at getting things done, old school mentality",lack of concern for employees,1921,3.15,3.44,3.12,3.6,3.64,3.92,1
454,BCD-Travel,The company offers a wide range of career opportunities with lots of virtual remote options for flexibility and growth.,"Good company offers free transportation, vacation time, medical benefits, and stable work.","Leadership focused on attracting and keeping valuable employees, with a good team to work with.","100% remote so no need to travel for office, and 80% of the company is remote-based.","Ethical, Diverse workplace with an Open Door policy where employees can speak directly to upper level management.",A supportive environment that promotes diversity and inclusion.,"It is very hard to get promoted in certain teams, with limited career growth.","Benefits are mediocre, pay is not comparable","Management can be a challenge, with unrealistic expectations and power trips from supervisors and managers.","If working under US teams, there is little to no work-life balance.",A 'boys club' atmosphere and politics at higher Management and mid Management only from India.,"Salary ranges are at least 30% below market, with more pay for women.",1584,3.63,3.51,3.72,4.0,4.0,4.03,2
455,Daikin,Great career growth and learning opportunities,"All good Good perk salary on time, Excellent secondary benefits, good annual package, and life balance make Daikin an attractive employer.","Helpful senior, working environment is good.","Great work-life balance, consistent and better than most companies., Good",,,"Slow growth path and salary growth, Some employees reported that career growth is limited or requires being friends with higher-ups to advance in rank.","underpay make the old staff keep leaving, new staff some time cannot cope with it",,"No work life balance , no timing striction","Daikin's working culture is the worst. I've been working so many years and this is the first company that I'll see superior talking bad about engineers with contractors., Some employees reported that the culture is very localized compared to other Japanese MNCs, and there are concerns about a lack of diversity and inclusion in certain areas of the company.",Lack of diversity and inclusion in certain areas of the company.,1041,3.36,3.5,3.03,3.2,3.35,3.55,4
456,BDO-USA,Many reviewers praise the opportunity to grow and plenty of resources.,"Reviewers often praise the pay as fair and 'in-line with the market', with a decent health insurance plan and profit-sharing contributions at calendar year end.",,"Many reviewers rave about the flexibility and work-life balance offered by the company, including the ability to work from home or have flexible schedules.","Reviewers often praise the company's culture and values, citing a 'great' and 'awesome' experience. They also mention that the company supports working parents.",,A few reviewers express frustration with the limited career advancement opportunities in certain practice areas.,"Benefits are average and PTO does not match industry standards of similar sized firms. Flex time is well respected, so that sort of makes up for more paid time off. 401k matching is not amazing (3%), but they also do profit-sharing contributions at calendar year end.",,"Long hours can be difficult., A few reviewers criticize the company's work-life balance, saying it can be challenging to find time for personal activities due to long hours or meetings.","One reviewer criticizes the company's corporate culture as conservative, lacking diversity, and uninclusive.","Some reviewers mention that certain aspects of the company's diversity and inclusion efforts are lacking, such as lack of representation in senior management.",755,3.88,3.37,3.53,3.08,3.68,3.88,1
457,Bajaj-Finance,One positive sentence describing career opportunities,"Good pay, learning, projects, visibility & growth, Higher pay as compared to market, Money wise definitely you cannot beat Bajaj.","Wonderful support from senior management, Best pay and rapid growth","The organization has fixed working hours, allowing for a great work-life balance., Zero work-life balance, you'll get 0 leaves.","Good work culture and helpful people, Good Technology company and compansation, Dynamic and agile company for work. Learning is good.best pay",,,- Low Salary as compared to the market (around 21000 INR per month),"- No respect for employees - Incompetent managers - Toxic culture - Work culture, Abusive Culture by Seniors Extreme Pressure No Sunday No Saturday for anyone.","- No work life balance in company. Work life balance is not good, work life balance is a little hard, pressure","Culture is not up to mark, Manipulative culture, toxic leaders, selfish and self centered CXOs",- Some people are not properly trained so these people are not able to work properly. Company can provide good training for them.,750,3.96,4.04,3.43,2.74,3.27,3.51,1
458,Bank-of-Ireland,"Flexibility Good opportunities to progress your career, Good opportunity to pivot to different roles, Good opportunities to advance in the bank, can work from home, The company offers various growth opportunities, including going into advisory roles like mortgages or business.","Good salary, pension and benefits, Decent pay and pension provided, Good benefits include flexible work structure, great pension, and remote working options., Salary could be paid higher, Average salaries compared to other IT sector companies","Management Very accommodating, friendly and always helpful. Great culture and atmosphere in the office, A 9-5 work schedule with remote working options (varies by team but generally in office one day a week) is provided.",A 9-5 work schedule with remote working options (varies by team but generally in office one day a week) is provided. Work life balance is good.,"Pension, Culture and Values, Community",,Unrealistic targets A lot of change,"Benefits for UK employees in my opinions aren't equal to what ROI are offered. Travel policy could be better, not helpful having travel costs re-paid at the next pay day rather than a few days after you've raised the claim.","Highly political - you need resilience at senior level, Irate customers, Ill equipped team leaders",,"Slow to replace people that have left, Lack of training or very little training., Poor Management and continual change of higher management and direction, Lots of Favouritism. Tough to climb the ladder.","Bullying not uncommon., This team's let down by its leaders and puppets who only use staff to their selfish motives in every way they can no matter what., IT is at least ten years behind other banks. Major issues with that.",1171,3.13,2.97,3.12,3.59,3.41,3.67,4
459,Beacon-Health-Options,Some people find great career opportunities within the company.,Great benefits and salaries. Wonderful perks such as picnics and parties,Loved the leaders that I got to work with!,"Reasonable schedules, good work-life balance, good colleagues Work from home option is available for some employees, providing better work life balance.","Company Culture •Mission, vision, values on point. •Welcoming staff, amazing teamwork, great options for investing in to my future.",,None at all waste of time,,Some managers were insensitive to employees needs,"Work/life balance is out of balance, alot of mandatory overtime needed","Company Culture •Fake we care for “Work/Life balance” attitude, Values customers, but not employees There is no time for training for your job. Discrimination is something they hide and support",,2915,2.85,2.95,2.61,2.98,2.99,3.37,3
460,Benefitfocus,"Flexible career paths available, with the opportunity to work on various projects and develop new skills.","Competitive compensation and top-of-the-line benefits, including a good PTO schedule.",New leadership team has great experience and I think will take the company to its next level.,"Flexible work environment for this position., Remote work options and flexible schedules can create a comfortable work environment.","Great company culture and a great environment for self-starters, Fun culture with a lot of great coworkers.","Good team mates. Good attitudes., Great opportunities to pitch in to projects and learn new things.","High-stress environment, constant fire-drill. Environment can be very political and I'm not even sure that leadership has a viable plan to get to profitability.",,Employee turnover still exists at a very high rate. Who is Steve Swad?,"Zero work-life balance in certain roles. Platform that is under-supported, particularly given the sensitive nature of the function.",Lacks direction and a clear focus,"Unorganized, undertones of racial discrimination as not many leadership are persons of color., Management cares about friends instead of good coworkers, Limited growth",3182,2.81,3.14,2.67,3.19,3.17,3.4,3
